epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,3522.97,0.84985,0.76401,1.21386,0.85418,0.89582,0.92964,0.73071,0.75177,0.63624,1.31754,0.00089141,0.00089141,0.00089141
78,3568.99,0.85905,0.76449,1.20927,0.83714,0.85683,0.92239,0.71475,0.77991,0.74368,1.34413,0.000884337,0.000884337,0.000884337
79,3614.88,0.85319,0.76089,1.21404,0.92435,0.87189,0.95643,0.75989,0.75354,0.54931,1.31062,0.000877263,0.000877263,0.000877263
80,3659.98,0.85645,0.75427,1.21964,0.83101,0.85486,0.92159,0.73144,0.74429,0.83879,1.31069,0.00087019,0.00087019,0.00087019
81,3705.22,0.85478,0.73198,1.20876,0.8394,0.90706,0.94095,0.74959,0.75172,0.63339,1.30938,0.000863116,0.000863116,0.000863116
82,3750.01,0.83816,0.72637,1.19325,0.84925,0.88455,0.9397,0.75025,0.71636,0.65762,1.28929,0.000856042,0.000856042,0.000856042
83,3795.23,0.84139,0.73354,1.20432,0.89715,0.9007,0.95,0.75809,0.73178,0.52436,1.28367,0.000848969,0.000848969,0.000848969
84,3841.36,0.83075,0.73469,1.20395,0.8419,0.84339,0.9074,0.72936,0.73592,0.73845,1.296,0.000841895,0.000841895,0.000841895
85,3886.74,0.81891,0.71819,1.19487,0.88306,0.89559,0.93689,0.74941,0.73301,0.58292,1.30911,0.000834822,0.000834822,0.000834822
86,3932.49,0.84695,0.71243,1.20517,0.79883,0.86448,0.89388,0.70502,0.72588,0.74853,1.29563,0.000827748,0.000827748,0.000827748
87,3978.21,0.83532,0.71894,1.19739,0.84223,0.91662,0.93846,0.7568,0.7202,0.58975,1.29483,0.000820675,0.000820675,0.000820675
